578 779 848 496 290 577 579 772 841 569 268 549 
578 776 840 495 284 577 579 771 838 560 262 556 
577 773 839 497 281 573 578 773 836 555 260 559 
575 771 838 494 280 571 577 774 836 553 261 560 
576 769 841 493 285 573 577 775 837 558 261 552 
578 768 848 497 293 569 579 777 845 562 268 549 
582 766 855 499 298 570 582 780 853 563 273 547 
589 765 863 500 307 570 588 781 863 563 282 546 
595 762 875 506 317 564 594 779 873 563 292 541 
599 755 886 504 330 555 597 777 885 565 302 529 
599 742 898 502 345 542 597 772 898 563 312 511 
596 723 908 497 358 526 593 767 907 569 322 487 
586 696 916 489 377 509 583 763 917 577 331 455 
576 666 919 472 389 494 573 758 922 580 338 427 
567 640 922 462 399 478 564 753 924 584 343 403 
559 618 923 453 408 468 556 752 927 588 352 388 
557 610 931 451 418 469 554 757 932 601 364 382 
560 613 944 465 432 475 557 769 942 620 380 387 
563 624 961 499 448 480 562 784 953 645 402 397 
568 643 979 539 472 493 568 797 960 671 432 407 
574 669 1001 587 499 508 574 810 970 705 465 420 
574 701 1018 644 525 522 576 821 971 742 496 434 
574 736 1031 686 545 540 578 838 970 778 521 456 
577 779 1042 735 553 564 583 861 968 809 535 487 
580 887 1050 832 533 602 591 913 955 840 520 583 
575 950 1044 879 511 622 589 938 944 852 504 638 
564 1015 1032 921 479 647 585 959 927 861 482 694 
551 1080 1018 946 439 679 578 977 911 876 453 746 
541 1137 998 948 387 723 572 989 896 887 416 789 
535 1179 968 930 327 767 570 997 876 895 379 819 
529 1192 934 896 274 803 568 1000 852 892 343 841 
524 1189 895 848 226 828 564 1001 826 881 310 849 
521 1156 849 785 181 839 561 1000 796 863 279 853 
517 1100 796 711 149 841 556 995 761 831 251 851 
513 1022 740 634 120 828 550 983 718 783 221 839 
508 931 691 565 97 793 543 963 676 721 195 830 
502 840 654 508 82 746 533 941 641 654 168 816 
495 763 637 473 76 693 522 917 622 595 145 795 
492 705 639 451 84 648 513 896 622 552 132 762 
496 664 659 435 106 612 513 879 644 526 131 724 
501 634 689 420 136 575 515 862 679 510 139 677 
510 611 724 412 172 542 518 844 719 500 156 627 
520 587 756 404 208 514 524 823 760 491 173 577 
531 561 790 395 242 482 531 804 796 479 192 531 
541 534 816 383 272 453 538 786 828 471 211 490 
551 504 837 368 299 426 544 770 856 463 227 453 
560 471 858 351 325 403 550 756 883 457 245 417 
566 436 875 331 349 383 553 742 909 452 261 380 
568 412 890 307 373 361 553 728 931 455 282 343 
572 390 902 293 391 348 554 718 949 457 300 318 
582 372 917 280 408 340 564 713 968 458 320 303 
597 359 936 275 428 332 579 708 991 457 340 290 
615 353 955 277 450 322 598 700 1018 457 367 276 
637 353 979 270 477 318 621 691 1048 460 401 260 
662 356 1004 265 507 318 648 685 1079 466 438 250 
687 361 1033 262 538 320 674 681 1112 477 479 239 
711 364 1061 269 567 320 700 682 1143 492 517 237 
737 366 1092 287 595 316 728 688 1172 511 557 238 
763 371 1125 310 625 309 755 699 1200 531 596 246 
786 381 1157 339 657 306 780 710 1221 557 640 255 
807 397 1189 367 691 313 799 721 1239 590 687 264 
823 416 1218 395 728 333 813 734 1252 631 735 277 
832 437 1247 428 765 360 819 747 1252 678 780 290 
836 455 1267 465 799 382 820 765 1247 730 820 309 
837 478 1283 509 829 410 818 786 1236 781 853 339 
840 511 1299 558 851 436 816 811 1220 823 873 374 
845 555 1309 620 867 454 815 839 1203 856 888 414 
847 606 1315 696 887 464 810 863 1181 884 904 458 
840 658 1314 784 913 475 799 881 1155 916 925 502 
829 704 1309 849 937 491 786 897 1127 949 944 546 
814 738 1296 909 958 514 770 914 1097 982 956 583 
794 766 1279 963 977 541 752 930 1064 1025 964 620 
772 787 1254 1010 992 567 733 946 1030 1063 969 655 
747 802 1221 1057 1004 594 714 962 995 1097 971 687 
721 815 1182 1097 1013 627 694 977 959 1129 972 717 
694 825 1137 1135 1019 652 675 991 923 1158 969 748 
666 835 1088 1171 1019 676 654 1004 888 1181 958 775 
636 847 1039 1197 1013 692 634 1017 854 1198 949 800 
604 858 nan nan 1007 710 612 1030 nan nan 934 829 
571 868 nan nan 993 725 590 1040 nan nan 920 854 
536 882 nan nan 982 748 567 1047 nan nan 903 878 
501 899 nan nan 968 763 544 1052 nan nan 887 902 
467 912 nan nan 957 774 522 1054 nan nan 873 931 
430 921 nan nan 935 776 499 1059 nan nan 853 955 
394 920 nan nan 910 784 475 1065 nan nan 833 975 
356 912 nan nan 885 792 450 1073 nan nan 813 984 
319 900 nan nan 858 805 427 1081 nan nan 792 990 
280 883 nan nan 827 818 401 1087 nan nan 769 998 
239 862 nan nan 791 823 373 1093 nan nan 743 1000 
